"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0101710/Garmelie","Billy Boyd","Garmelie","Garmelie"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm1252685/Devana","Toks Olagundoye","Devana","Devana"
"/name/nm7757524/Velora","Jayla Lavender Nicholas","Velora","Velora"
"/name/nm1684869/Syldor","Troy Baker","Syldor","Syldor"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0001857/Wilhand Trickfoot","Henry Winkler","Wilhand Trickfoot","Wilhand Trickfoot"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm0707983/Saunder","Sendhil Ramamurthy","Saunder","Saunder"
