"item_id","actor_name","character_name","character_name_standardized"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm0868659/Keeper Yennen","Gina Torres","Keeper Yennen","Keeper Yennen"
"/name/nm0890055/Allura","Indira Varma","Allura","Lady Allura Vysoren"
"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra","Cassandra de Rolo"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm0408591/Kevdak","Ralph Ineson","Kevdak","Kevdak"
"/name/nm5349813/Zanror","Abubakar Salim","Zanror","Zanror"
"/name/nm4957233/Kaylie","Aisling Franciosi","Kaylie","Kaylie"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
