"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0714698/Thordak","Lance Reddick","Thordak","Thordak"
"/name/nm0838588/Raishan","Cree Summer","Raishan","Raishan"
"/name/nm2233310/Umbrasyl","Matthew Mercer","Umbrasyl","Umbrasyl"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm0295115/Kashaw","Will Friedle","Kashaw","Kashaw"
"/name/nm0569479/Zahra","Mary Elizabeth McGlynn","Zahra","Zahra"
