"item_id","actor_name","character_name","character_name_standardized"
"/name/nm1661282/Vilya","Janet Varney","Vilya","Vilya"
"/name/nm13334893/Young Keyleth","Kestrel Riegel","Young Keyleth","Young Keyleth"
"/name/nm0851317/Korrin","Fred Tatasciore","Korrin","Korrin"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm2837894/Cerkonos","Robbie Daymond","Cerkonos","Cerkonos"
"/name/nm3715867/Kima","Stephanie Beatriz","Kima","Lady Kima of Vord"
"/name/nm0890055/Allura","Indira Varma","Allura","Lady Allura Vysoren"
"/name/nm2233310/Umbrasyl","Matthew Mercer","Umbrasyl","Umbrasyl"
"/name/nm0005026/Anna Ripley","Kelly Hu","Anna Ripley","Anna Ripley"
