"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike Trickfoot","Pike"
"/name/nm0080401/Head Cleric","Anjali Bhimani","Head Cleric","Head Cleric"
"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra","Cassandra de Rolo"
"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival de Rolo","Percival"
"/name/nm0740535/Professor Anders","Stephen Root","Professor Anders","Professor Anders"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm2233310/Enemy Archer","Matthew Mercer","Enemy Archer","Enemy Archer"
"/name/nm1139632/Everlight","Tracie Thoms","Everlight","Everlight"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
"/name/nm2233310/Steward","Matthew Mercer","Steward","Steward"
"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood","Sylas Briarwood"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
