"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm0001857/Wilhand Trickfoot","Henry Winkler","Wilhand Trickfoot","Wilhand Trickfoot"
"/name/nm5349813/Zanror","Abubakar Salim","Zanror","Zanror"
"/name/nm4957233/Kaylie","Aisling Franciosi","Kaylie","Kaylie"
"/name/nm0408591/Kevdak","Ralph Ineson","Kevdak","Kevdak"
"/name/nm2233310/Umbrasyl","Matthew Mercer","Umbrasyl","Umbrasyl"
"/name/nm2233310/Dr. Dranzel","Matthew Mercer","Dr. Dranzel","Dr. Dranzel"
"/name/nm0005026/Ripley","Kelly Hu","Ripley","Anna Ripley"
