"item_id","actor_name","character_name","character_name_standardized"
"/name/nm1146051/Sovereign Uriel Tal'Dorei","Khary Payton","Sovereign Uriel Tal'Dorei","Sovereign Uriel"
"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival de Rolo","Percival"
"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike Trickfoot","Pike"
"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren","Lady Allura Vysoren"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood","Sylas Briarwood"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
"/name/nm0126021/Captain Jarett","Eugene Byrd","Captain Jarett","Captain Jarett"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
