"item_id","actor_name","character_name","character_name_standardized"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
"/name/nm0740535/Professor Anders","Stephen Root","Professor Anders","Professor Anders"
"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood","Sylas Briarwood"
"/name/nm13334893/Little Girl","Kestrel Riegel","Little Girl","Little Girl"
"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike Trickfoot","Pike"
"/name/nm0080401/Head Cleric","Anjali Bhimani","Head Cleric","Head Cleric"
