"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0838588/Raishan","Cree Summer","Raishan","Raishan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm1057696/Matron of Ravens","Courtenay Taylor","Matron of Ravens","Matron of Ravens"
"/name/nm0890055/Allura","Indira Varma","Allura","Lady Allura Vysoren"
"/name/nm3715867/Kima","Stephanie Beatriz","Kima","Lady Kima of Vord"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm2233310/Orthax","Matthew Mercer","Orthax","Orthax"
"/name/nm4957233/Kaylie","Aisling Franciosi","Kaylie","Kaylie"
