"item_id","actor_name","character_name","character_name_standardized"
"/name/nm4733752/Young Ripley","Kimiko Glenn","Young Ripley","Anna Ripley"
"/name/nm0005026/Anna Ripley","Kelly Hu","Anna Ripley","Anna Ripley"
"/name/nm0868659/Keeper Yennen","Gina Torres","Keeper Yennen","Keeper Yennen"
"/name/nm0890055/Allura","Indira Varma","Allura","Lady Allura Vysoren"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm2233310/Orthax","Matthew Mercer","Orthax","Orthax"
"/name/nm2963561/Zerxus Ilerez","Luis Carazo","Zerxus Ilerez","Zerxus Ilerez"
