"item_id","actor_name","character_name","character_name_standardized"
"/name/nm2233310/Narrator","Matthew Mercer","Narrator","Narrator"
"/name/nm0855039/General Krieg","David Tennant","General Krieg","General Krieg"
"/name/nm0355024/Sir Fince","Tony Hale","Sir Fince","Sir Fince"
"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren","Lady Allura Vysoren"
"/name/nm1146051/Sovereign Uriel","Khary Payton","Sovereign Uriel","Sovereign Uriel"
"/name/nm3715867/Lady Kima of Vord","Stephanie Beatriz","Lady Kima of Vord","Lady Kima of Vord"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm2233310/Agar","Matthew Mercer","Agar","Agar"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm4317622/Tavern Keeper","Mason Alexander Park","Tavern Keeper","Tavern Keeper"
"/name/nm5225554/Palace Guard","Logic","Palace Guard","Palace Guard"
"/name/nm2233310/Fisherman","Matthew Mercer","Fisherman","Fisherman"
"/name/nm13320169/Girl","Zoe O'Brien","Girl","Girl"
"/name/nm9446979/Boy","Maximus Riegel","Boy","Boy"
