"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0740535/Professor Anders","Stephen Root","Professor Anders","Professor Anders"
"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival de Rolo","Percival"
"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra","Cassandra de Rolo"
"/name/nm0217221/Lady De Rolo","Grey DeLisle","Lady De Rolo","Cassandra de Rolo"
"/name/nm0597480/Archie","Dominic Monaghan","Archie","Archie"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm0564920/Duke Vedmire","Rory McCann","Duke Vedmire","Duke Vedmire"
