"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0855039/General Krieg","David Tennant","General Krieg","General Krieg"
"/name/nm1260407/Captain","Felicia Day","Captain","Captain"
"/name/nm1146051/Sovereign Uriel","Khary Payton","Sovereign Uriel","Sovereign Uriel"
"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren","Lady Allura Vysoren"
"/name/nm3715867/Lady Kima of Vord","Stephanie Beatriz","Lady Kima of Vord","Lady Kima of Vord"
"/name/nm0355024/Sir Fince","Tony Hale","Sir Fince","Sir Fince"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm2233310/Palace Guard","Matthew Mercer","Palace Guard","Palace Guard"
"/name/nm2233310/Trinket","Matthew Mercer","Trinket","Trinket"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm5489754/Desmond","Max Mittelman","Desmond","Desmond"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood","Sylas Briarwood"
"/name/nm5489754/Bandit 1","Max Mittelman","Bandit 1","Bandit 1"
"/name/nm1260407/Bandit 2","Felicia Day","Bandit 2","Bandit 2"
