"item_id","actor_name","character_name","character_name_standardized"
"/name/nm2233310/Rebel","Matthew Mercer","Rebel","Rebel"
"/name/nm0597480/Archie","Dominic Monaghan","Archie","Archie"
"/name/nm3017290/Bryn","Stacey Raymond","Bryn","Bryn"
"/name/nm0210875/Stonefell","Darin De Paul","Stonefell","Stonefell"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm2233310/Giant","Matthew Mercer","Giant","Giant"
"/name/nm0868659/Keeper Yennen","Gina Torres","Keeper Yennen","Keeper Yennen"
"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival de Rolo","Percival"
"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike Trickfoot","Pike"
"/name/nm0080401/Head Cleric","Anjali Bhimani","Head Cleric","Head Cleric"
"/name/nm0564920/Duke Vedmire","Rory McCann","Duke Vedmire","Duke Vedmire"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
